year,sex,age,edu_1,employed
2020,males,55-59,secondary,28100
2020,males,60-64,secondary,24500
2020,males,65-69,secondary,13200
2020,males,70_and_over,secondary,9400
2020,males,15-19,post-sec,10500
2020,males,20-24,post-sec,20100
2020,males,25-29,post-sec,13900
2020,males,30-34,post-sec,13900
2020,males,35-39,post-sec,12800
2020,males,40-44,post-sec,12000
2020,males,45-49,post-sec,17600
2020,males,50-54,post-sec,16800
2020,males,55-59,post-sec,15400
2020,males,60-64,post-sec,12600
2020,males,65-69,post-sec,7200
2020,males,70_and_over,post-sec,3900
2020,males,15-19,dip_and_professional_qual,1300
2020,males,20-24,dip_and_professional_qual,30300
2020,males,25-29,dip_and_professional_qual,32900
2020,males,30-34,dip_and_professional_qual,29000
2020,males,35-39,dip_and_professional_qual,30300
2020,males,40-44,dip_and_professional_qual,29400
2020,males,45-49,dip_and_professional_qual,25700
2020,males,50-54,dip_and_professional_qual,20300
2020,males,55-59,dip_and_professional_qual,17000
2020,males,60-64,dip_and_professional_qual,11800
2020,males,65-69,dip_and_professional_qual,5700
2020,males,70_and_over,dip_and_professional_qual,3200
2020,males,15-19,degree,-
2020,males,20-24,degree,2500
2020,males,25-29,degree,55400
2020,males,30-34,degree,72500
2020,males,35-39,degree,73900
2020,males,40-44,degree,74900
2020,males,45-49,degree,68900
2020,males,50-54,degree,46500
2020,males,55-59,degree,30100
2020,males,60-64,degree,13700
2020,males,65-69,degree,7400
2020,males,70_and_over,degree,5300
2020,females,15-19,primary_and_below,400
2020,females,20-24,primary_and_below,200
2020,females,25-29,primary_and_below,1000
2020,females,30-34,primary_and_below,1500
2020,females,35-39,primary_and_below,2000
2020,females,40-44,primary_and_below,2600
2020,females,45-49,primary_and_below,6400
2020,females,50-54,primary_and_below,10400
2020,females,55-59,primary_and_below,17600
2020,females,60-64,primary_and_below,19200
2020,females,65-69,primary_and_below,14300
2020,females,70_and_over,primary_and_below,15000
2020,females,15-19,lower_secondary,100
2020,females,20-24,lower_secondary,400
2020,females,25-29,lower_secondary,800
2020,females,30-34,lower_secondary,1600
2020,females,35-39,lower_secondary,2000
2020,females,40-44,lower_secondary,3900
2020,females,45-49,lower_secondary,5600
2020,females,50-54,lower_secondary,6500
2020,females,55-59,lower_secondary,9000
2020,females,60-64,lower_secondary,6300
2020,females,65-69,lower_secondary,5200
2020,females,70_and_over,lower_secondary,2500
2020,females,15-19,secondary,4300
2020,females,20-24,secondary,4000
2020,females,25-29,secondary,6200
2020,females,30-34,secondary,7800
2020,females,35-39,secondary,13500
2020,females,40-44,secondary,15300
2020,females,45-49,secondary,23300
2020,females,50-54,secondary,27400
2020,females,55-59,secondary,28400
2020,females,60-64,secondary,22000
2020,females,65-69,secondary,12600
2020,females,70_and_over,secondary,5400
2020,females,15-19,post-sec,2700
2020,females,20-24,post-sec,10100
2020,females,25-29,post-sec,6200
2020,females,30-34,post-sec,7100
2020,females,35-39,post-sec,6600
2020,females,40-44,post-sec,7900
2020,females,45-49,post-sec,12100
2020,females,50-54,post-sec,14200
2020,females,55-59,post-sec,12800
2020,females,60-64,post-sec,8200
2020,females,65-69,post-sec,4100
2020,females,70_and_over,post-sec,2100
2020,females,15-19,dip_and_professional_qual,700
2020,females,20-24,dip_and_professional_qual,22500
2020,females,25-29,dip_and_professional_qual,26800
2020,females,30-34,dip_and_professional_qual,24900
2020,females,35-39,dip_and_professional_qual,27700
2020,females,40-44,dip_and_professional_qual,28100
2020,females,45-49,dip_and_professional_qual,24900
2020,females,50-54,dip_and_professional_qual,18500
2020,females,55-59,dip_and_professional_qual,11600
2020,females,60-64,dip_and_professional_qual,8100
2020,females,65-69,dip_and_professional_qual,2500
2020,females,70_and_over,dip_and_professional_qual,1400
2020,females,15-19,degree,-
2020,females,20-24,degree,18300
2020,females,25-29,degree,78800
2020,females,30-34,degree,83000
2020,females,35-39,degree,77300
2020,females,40-44,degree,64400
2020,females,45-49,degree,48400
2020,females,50-54,degree,28600
2020,females,55-59,degree,16800
2020,females,60-64,degree,8600
2020,females,65-69,degree,2500
2020,females,70_and_over,degree,1200
2021,males,15-19,primary_and_below,400
2021,males,20-24,primary_and_below,800
2021,males,25-29,primary_and_below,600
2021,males,30-34,primary_and_below,1200
2021,males,35-39,primary_and_below,1500
2021,males,40-44,primary_and_below,2600
2021,males,45-49,primary_and_below,4500
2021,males,50-54,primary_and_below,9600
2021,males,55-59,primary_and_below,19300
2021,males,60-64,primary_and_below,25600
2021,males,65-69,primary_and_below,20000
2021,males,70_and_over,primary_and_below,17200
2021,males,15-19,lower_secondary,800
2021,males,20-24,lower_secondary,1000
2021,males,25-29,lower_secondary,800
